variable,importancia
num__unidades_vendidas_lag_1,0.8455961563466524
num__unidades_vendidas_media_30,0.02711045151994869
num__unidades_vendidas_media_14,0.02587277025939884
num__unidades_vendidas_media_7,0.021231009501919317
num__unidades_vendidas_lag_30,0.01525864144730695
num__unidades_vendidas_lag_14,0.013411878743729804
num__unidades_vendidas_lag_7,0.009822331624829685
num__dia_semana,0.0048963195552767114
num__dias_desde_inicio,0.0035188521598418835
cat__categoria_Hogar,0.0032837777535580214
cat__canal_Amazon,0.002958319887596774
cat__categoria_Moda Hombre,0.0029524007386477814
cat__categoria_Belleza,0.002948083685815142
cat__categoria_Calzado,0.0026457654322030125
cat__canal_Web Propia,0.0026361898636826165
cat__canal_Shein,0.0023736869126974236
cat__canal_Miravia,0.0022673737155367002
cat__categoria_Moda Mujer,0.00219570701829448
cat__categoria_Accesorios,0.0021345205739816556
num__mes_numero,0.0020340179157641745
cat__categoria_Outlet,0.0016061374584380708
cat__categoria_Electronica,0.001164232392045682
cat__categoria_Deporte,0.0008268254704603188
num__es_fin_de_semana,0.0006596074854360417
cat__categoria_Infantil,0.000439862419046184
